categoryKey	familyId	effectType	familyParameters	familyStringArrayValues	sampleId	sampleLabel	sampleDescription	sampleValue	sampleParameters	sampleStatScale	sampleEffects	magnitude	selection	expectedEffectSummary	expectedStatusEffectId	expectedNotes	expectedStatus
attack	damageDealtPercent.physical	damageDealtPercent	damageType=physical		3	[+1%] 物理攻撃威力補正	物理攻撃で与えるダメージが1%増加する。	valuePercent=1				1	min	effectType=damageDealtPercent;param.damageType=physical;value.valuePercent=1			auto
attack	damageDealtPercent.physical	damageDealtPercent	damageType=physical		25	[+50%] 物理攻撃威力補正	物理攻撃で与えるダメージが50%増加する。	valuePercent=50				50	max	effectType=damageDealtPercent;param.damageType=physical;value.valuePercent=50			auto
attack	damageDealtPercent.magical	damageDealtPercent	damageType=magical		1496	[+1%] 魔法攻撃威力補正	魔法攻撃で与えるダメージが1%増加する。	valuePercent=1				1	min	effectType=damageDealtPercent;param.damageType=magical;value.valuePercent=1			auto
attack	damageDealtPercent.magical	damageDealtPercent	damageType=magical		26	[-80%] 魔法攻撃威力補正	魔法攻撃で与えるダメージが80%減少する。	valuePercent=-80				80	max	effectType=damageDealtPercent;param.damageType=magical;value.valuePercent=-80			auto
attack	damageDealtPercent.breath	damageDealtPercent	damageType=breath		52	[+5%] ブレス威力補正	ブレス攻撃で与えるダメージが5%増加する。	valuePercent=5				5	min	effectType=damageDealtPercent;param.damageType=breath;value.valuePercent=5			auto
attack	damageDealtPercent.breath	damageDealtPercent	damageType=breath		61	[+50%] ブレス威力補正	ブレス攻撃で与えるダメージが50%増加する。	valuePercent=50				50	max	effectType=damageDealtPercent;param.damageType=breath;value.valuePercent=50			auto
attack	damageDealtMultiplier.physical	damageDealtMultiplier	damageType=physical		63	[0.9倍] 物理攻撃威力倍率	物理攻撃で与えるダメージが0.9倍になる。	multiplier=0.9				0.1	min	effectType=damageDealtMultiplier;param.damageType=physical;value.multiplier=0.9			auto
attack	damageDealtMultiplier.physical	damageDealtMultiplier	damageType=physical		71	[2.0倍] 物理攻撃威力倍率	物理攻撃で与えるダメージが2.0倍になる。	multiplier=2				1	max	effectType=damageDealtMultiplier;param.damageType=physical;value.multiplier=2			auto
attack	damageDealtMultiplier.magical	damageDealtMultiplier	damageType=magical		72	[1.1倍] 魔法攻撃威力倍率	魔法攻撃で与えるダメージが1.1倍になる。	multiplier=1.1				0.1	min	effectType=damageDealtMultiplier;param.damageType=magical;value.multiplier=1.1			auto
attack	damageDealtMultiplier.magical	damageDealtMultiplier	damageType=magical		78	[2.0倍] 魔法攻撃威力倍率	魔法攻撃で与えるダメージが2.0倍になる。	multiplier=2				1	max	effectType=damageDealtMultiplier;param.damageType=magical;value.multiplier=2			auto
attack	damageDealtMultiplier.breath	damageDealtMultiplier	damageType=breath		80	[1.1倍] ブレス威力倍率	ブレス攻撃で与えるダメージが1.1倍になる。	multiplier=1.1				0.1	min	effectType=damageDealtMultiplier;param.damageType=breath;value.multiplier=1.1			auto
attack	damageDealtMultiplier.breath	damageDealtMultiplier	damageType=breath		92	[10.0倍] ブレス威力倍率	ブレス攻撃で与えるダメージが10.0倍になる。	multiplier=10				9	max	effectType=damageDealtMultiplier;param.damageType=breath;value.multiplier=10			auto
attack	damageDealtMultiplierAgainst.humanoid	damageDealtMultiplierAgainst		targetRaceIds=[3,4,5]	93	[×1.1] 対人型与ダメ倍率	人型の敵へのすべての攻撃で与えるダメージが1.1倍になる。	multiplier=1.1				0.1	min	effectType=damageDealtMultiplierAgainst;value.multiplier=1.1;array.targetRaceIds=[3,4,5]			auto
attack	damageDealtMultiplierAgainst.humanoid	damageDealtMultiplierAgainst		targetRaceIds=[3,4,5]	99	[×2.0] 対人型与ダメ倍率	人型の敵へのすべての攻撃で与えるダメージが2.0倍になる。	multiplier=2				1	max	effectType=damageDealtMultiplierAgainst;value.multiplier=2;array.targetRaceIds=[3,4,5]			auto
attack	damageDealtMultiplierAgainst.monster	damageDealtMultiplierAgainst		targetRaceIds=[2]	100	[×1.1] 対魔物与ダメ倍率	魔物の敵へのすべての攻撃で与えるダメージが1.1倍になる。	multiplier=1.1				0.1	min	effectType=damageDealtMultiplierAgainst;value.multiplier=1.1;array.targetRaceIds=[2]			auto
attack	damageDealtMultiplierAgainst.monster	damageDealtMultiplierAgainst		targetRaceIds=[2]	106	[×2.0] 対魔物与ダメ倍率	魔物の敵へのすべての攻撃で与えるダメージが2.0倍になる。	multiplier=2				1	max	effectType=damageDealtMultiplierAgainst;value.multiplier=2;array.targetRaceIds=[2]			auto
attack	damageDealtMultiplierAgainst.undead	damageDealtMultiplierAgainst		targetRaceIds=[7,14]	107	[×1.1] 対不死与ダメ倍率	不死の敵へのすべての攻撃で与えるダメージが1.1倍になる。	multiplier=1.1				0.1	min	effectType=damageDealtMultiplierAgainst;value.multiplier=1.1;array.targetRaceIds=[7,14]			auto
